2023-03-04: ошибок 0
2023-03-05: 1,5500 + 2,8800i * 3,6600 + 4,7700i = -8,0646 + 17,9343i; ошибок 0 ; 
2023-03-05: 1,5500 + 2,8800i * 3,6600 + 4,7700i = -8,0646 + 17,9343i; ошибок 0 ;
2023-03-06: 25.5 * 64.3 = 1639.6499999999999; ошибок 0 ;
2023-03-06: 25,0000 + 65,0000i * 12,0000 + 1,0000i = 235,0000 + 805,0000i; ошибок 0 ;
2023-03-08: 1254.54 - 1587.45 = -332.9100000000001; ошибок 0 ;
2023-03-08: 125,5000 + 120,9000i / 2,2000 + 6,6500i = 22,0145 - -11,5892i; ошибок 0 ;
2023-03-08: 547.0 - 654.0 = -107.0; ошибок 0 ;
2023-03-08: 54.0 + 645.0 = 699.0; ошибок 0 ;
2023-03-08: 25,0000 + 5,0000i / 25,0000 + 5,0000i = 1,0000 - 0,0000i; ошибок 0 ;
2023-03-08: 54.0 - 145.0 = -91.0; ошибок 0 ;
2023-03-08: 54.21 * 42.87 = 1.2645206438068581; ошибок 0 ;

